Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Francisco Ruano,Colegios públicos,CALLE ALMURADIEL 150,Méndez Álvaro,Calle Retama nº 5
Colegio Público Francisco de Goya,Colegios públicos,CALLE ANTILLON 23,Caramuel,Calle Caramuel nº 51
Colegio Público Francisco de Luis,Colegios públicos,CALLE CORREGIDOR RODRIGO RODRIGUEZ 5,Camino Vinateros,Calle Camino de los Vinateros nº 28
Colegio Público Francisco de Quevedo,Colegios públicos,CALLE GRANADA 16,Puerta de Granada,Avenida de Menéndez Pelayo nº 38
Colegio Público Fray Junípero Serra,Colegios públicos,CAMINO VALDERRIBAS 120,Sierra Toledana,Camino de Valderribas nº 94
Colegio Público Gabriela Mistral,Colegios públicos,CALLE MIRALLOS 3,Manuel Caldeiro,Paseo de la Castellana nº 298
Colegio Público Gandhi,Colegios públicos,CALLE GANDHI 10,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Garcilaso de la Vega,Colegios públicos,CALLE TREFACIO 18,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público García Morente,Colegios públicos,RONDA SUR 229,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público Giner de los Ríos,Colegios públicos,CALLE MEMBEZAR 25,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público Gloria Fuertes,Colegios públicos,CALLE CENSO 3,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Gonzalo Fernández de Córdoba,Colegios públicos,CALLE ADANERO 3,Caramuel,Calle Caramuel nº 51
Colegio Público Gonzalo de Berceo,Colegios públicos,AVENIDA ABRANTES 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Colegio Público Guindalera,Colegios públicos,CALLE BOSTON 3,Camilo José Cela,Avenida de Camilo José Cela nº 23
Colegio Público Gustavo Adolfo Bécquer,Colegios públicos,CALLE SANTA GENOVEVA 32,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52
Colegio Público Haití,Colegios públicos,CALLE GUABAIRO 22,Caramuel,Calle Caramuel nº 51
Colegio Público Hermanos Pinzón,Colegios públicos,CALLE AZOR 4,Caramuel,Calle Caramuel nº 51
Colegio Público Hernán Cortés,Colegios públicos,CALLE LOS YEBENES 241,Caramuel,Calle Caramuel nº 51
Colegio Público Honduras,Colegios públicos,PASEO FEDERICO GARCIA LORCA 19,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Hortaleza,Colegios públicos,CALLE VALDETORRES DE JARAMA 1,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Ignacio Zuloaga,Colegios públicos,CALLE ALEJANDRO RODRIGUEZ 34,Francos Rodríguez,Calle Francos Rodríguez nº 62
Colegio Público Infanta Leonor,Colegios públicos,CALLE MONASTERIO DE EL PAULAR 140,Pedro Rico,Calle Pedro Rico nº 4
Colegio Público Isaac Albéniz,Colegios públicos,CALLE DRACENA 29,Pío XII,Avenida Pío XII nº 3
Colegio Público Isaac Peral,Colegios públicos,GLORIETA RUFINO NOVALVOS 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Colegio Público Isabel la Católica,Colegios públicos,CALLE BARCELO 2,Barceló,Calle Barceló nº 7
Colegio Público Jaime Balmes,Colegios públicos,CALLE SIERRA DE LA SOLANA 2,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público Jaime Vera,Colegios públicos,CALLE BRAVO MURILLO 162,Estrecho,Calle Navarra nº 1
Colegio Público Javier de Miguel,Colegios públicos,CALLE JAVIER DE MIGUEL 90,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público Joaquín Costa,Colegios públicos,PASEO PONTONES 8,Paseo Imperial,Paseo Imperial nº 20
Colegio Público Joaquín Dicenta,Colegios públicos,PASEO OLIVOS 70,Caramuel,Calle Caramuel nº 51
Colegio Público Joaquín Turina,Colegios públicos,CALLE ARTURO SORIA 332,Manuel Caldeiro,Paseo de la Castellana nº 298
Colegio Público Jorge Guillén,Colegios públicos,AVENIDA EL FERROL 47,Remonta,Calle Azucenas nº 1
Colegio Público Jorge Manrique,Colegios públicos,PLAZA PINTOR LUCAS 17,San Delfín,Calle San Delfín nº 9
Colegio Público Josep Tarradellas,Colegios públicos,CALLE TRIACASTELA 1,Manuel Caldeiro,Paseo de la Castellana nº 298
Colegio Público José Bergamín,Colegios públicos,CALLE BRAILLE 19,Pedro Rico,Calle Pedro Rico nº 4
Colegio Público José Calvo Sotelo,Colegios públicos,AVENIDA CIUDAD DE BARCELONA 83,Pedro Bosch,Calle Cerro de la Plata nº 2
Colegio Público José María de Pereda,Colegios públicos,CALLE MESTANZA 94,Méndez Álvaro,Calle Retama nº 5
Colegio Público José Ortega y Gasset,Colegios públicos,CALLE ORENSE 87,Remonta,Calle Azucenas nº 1
Colegio Público José de Echegaray,Colegios públicos,CALLE PUENTEDEY 14,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Jovellanos,Colegios públicos,CALLE MONROY 34,Caramuel,Calle Caramuel nº 51
Colegio Público Juan Gris,Colegios públicos,CALLE MUELA DE SAN JUAN 31,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Juan Ramón Jiménez,Colegios públicos,CALLE MARQUES DE VIANA 58,Metro Tetuán,Calle Marqués de Viana nº 3
Colegio Público Juan Sebastián Elcano,Colegios públicos,CALLE MIRASIERRA 29,Antonio López,Calle Eugenio Caxes frente al nº 12
Colegio Público Juan Zaragüeta,Colegios públicos,CALLE VIA DE LOS POBLADOS 19,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Juan de la Cierva,Colegios públicos,CALLE VILLARROSA 7,Embajadores 191,Calle Sodio nº 1B
Colegio Público Julián Besteiro,Colegios públicos,AVENIDA ABRANTES 79,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Colegio Público Julián Marías,Colegios públicos,CALLE BUDAPEST 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público La Alameda,Colegios públicos,CALLE MUSAS 9,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público La Dehesa del Príncipe,Colegios públicos,PASEO LANCEROS 4,Caramuel,Calle Caramuel nº 51
Colegio Público La Latina,Colegios públicos,CALLE MAQUEDA 130,Caramuel,Calle Caramuel nº 51
Colegio Público La Rioja,Colegios públicos,CALLE LEON FELIPE 3,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Legado Crespo,Colegios públicos,PASEO ACACIAS 2,Embajadores 1,Glorieta de Embajadores nº 6
Colegio Público Leopoldo Alas,Colegios públicos,CALLE PEDREZUELA 18,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52
Colegio Público Leopoldo Calvo Sotelo,Colegios públicos,CALLE CASTIELLO DE JACA 2,Manuel Caldeiro,Paseo de la Castellana nº 298
Colegio Público Lepanto,Colegios públicos,CALLE VALDERREY 9,Francos Rodríguez,Calle Francos Rodríguez nº 62
Colegio Público Lope de Vega,Colegios públicos,CALLE INGLATERRA 8,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Colegio Público Lorenzo Luzuriaga,Colegios públicos,CALLE VALENCIA DE DON JUAN 13,Pedro Rico,Calle Pedro Rico nº 4
